,Light Class,,Heavy,,Medium,,Light,,Light Class,,Heavy,,Medium,,Light,,,,
,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,,
,Dagger,7,-,5.00,-,3.00,-,,Dagger,7,-,5.00,-,3.00,-,,,,
,LH1,8,1.40,6.00,1.00,4.00,0.60,,LH1,4,0.60,3.00,0.40,2.00,0.20,,,,
,M11,22,1.26,16.00,0.90,10.00,0.54,,M11,15,0.84,11.00,0.60,7.00,0.36,,,,
,SH1900,3,3.70,2.00,0.60,1.00,0.00,,SH1900,3,3.70,2.00,0.60,1.00,0.00,,,,
,SR-84,4,3.60,3.00,2.40,2.00,1.20,,SR-84,2,1.20,2.00,1.20,1.00,0.00,,,,
,Sword,5,-,4.00,-,3.00,-,,Sword,5,-,4.00,-,3.00,-,,,,
,Throwing Knives,6,2.14,5.00,1.72,3.00,0.86,,Throwing Knives,4,1.29,3.00,0.86,2.00,0.43,,,,
,V9S,10,1.27,7.00,0.85,5.00,0.56,,V9S,7,0.85,5.00,0.56,3.00,0.28,,,,
,XP-54,20,1.34,14.00,0.92,9.00,0.57,,XP-54,13,0.85,10.00,0.64,6.00,0.36,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Medium Class,,Heavy,,Medium,,Light,,Medium Class,,Heavy,,Medium,,Light,,,,
,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,,
,AKM,18.0,1.7,13.0,1.2,8.0,0.7,,AKM,12.0,1.1,9.0,0.8,5.0,0.4,,,,
,CL-40,4.0,2.3,3.0,1.5,2.0,0.8,,CL-40,4.0,2.3,3.0,1.5,2.0,0.8,,,,
,FCAR,14.0,1.4,10.0,1.0,6.0,0.6,,FCAR,10.0,1.0,7.0,0.7,4.0,0.3,,,,
,Model 1887,3.0,1.6,2.0,0.8,2.0,0.8,,Model 1887,3.0,1.6,2.0,0.8,2.0,0.8,,,,
,R .357,5.0,1.6,4.0,1.2,3.0,0.8,,R .357,3.0,0.8,2.0,0.4,2.0,0.4,,,,
,Riot Shield ,5.0,3.6,3.0,1.8,2.0,0.9,,Riot Shield ,5.0,3.6,3.0,1.8,2.0,0.9,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Heavy Class ,,Heavy,,Medium,,Light,,Heavy Class ,,Heavy,,Medium,,Light,,,,
,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,Bullets Needed,350 hp,Bullets Needed,250 hp,Bullets Needed,150 hp,,,,
,Flamethrower,12.0,3.9,9.0,2.8,5.0,1.4,,Flamethrower,12.0,3.9,9.0,2.8,5.0,1.4,,,,
,Lewis Gun,14.0,1.6,10.0,1.1,6.0,0.6,,Lewis Gun,10.0,1.1,7.0,0.7,4.0,0.4,,,,
,M60,16.0,1.6,12.0,1.2,7.0,0.6,,M60,11.0,1.1,8.0,0.7,5.0,0.4,,,,
,MGL32,5.0,-,4.0,-,2.0,-,,MGL32,5.0,-,4.0,-,2.0,-,,,,
,SA1216,4.0,0.8,3.0,0.5,2.0,0.3,,SA1216,4.0,0.8,3.0,0.5,2.0,0.3,,,,
,Sledgehammer,4.0,-,3.0,-,2.0,-,,Sledgehammer,4.0,-,3.0,-,2.0,-,,,,
