,Body Damage,Head Damage,Rate of Fire (RPM),Magazine Size,Damage Per Magazine,Empty Reload Time (seconds),Tactical Reload Time (seconds),Shots Per Burst,Delay Until Next Burst (seconds),TTK vs. Light @ Body (seconds),STK (L),TTK vs. Medium @ Body (seconds),STK (M),TTK vs. Heavy @ Body (seconds),STK (H),TTK vs. Light @ Head (seconds),STK (L),TTK vs. Medium @ Head (seconds),STK (M),TTK vs. Heavy @ Head (seconds),STK (H),Damage Dropoff Minimum Range,Damage Dropoff Maximum Range,Damage Dropoff Modifier @ Max Range,Notes
Pike .556,50,75,200,12,600,2.6,-,-,-,0.60,3,1.20,5,1.80,7,0.30,2,0.90,4,1.20,5,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
R.357,74,148,130,6,444,2.5,-,-,-,0.92,3,1.38,4,1.85,5,0.46,2,0.46,2,0.92,3,-,-,-,Head damage derived from the sheet's 2x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Riot Shield,90,-,-,1,90,3.1,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,"Source column 4 holds 1 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 100 for this melee weapon — swing rate, not RPM. Dropped.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown."
HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,
.50 Akimbo,44,88,230,14,616,3,-,-,-,0.78,4,1.30,6,1.83,8,0.26,2,0.52,3,0.78,4,-,-,-,Head damage derived from the sheet's 2x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Flamethrower,30,30,170,30,900,3.5,-,-,-,1.41,5,2.82,9,3.88,12,1.41,5,2.82,9,3.88,12,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
KS-23,100,100,73,6,600,4.36,-,-,-,0.82,2,1.64,3,2.47,4,0.82,2,1.64,3,2.47,4,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Lewis Gun,22,33,510,47,1034,3.5,-,-,-,0.71,7,1.29,12,1.76,16,0.47,5,0.82,8,1.18,11,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
M60,19,28.5,580,70,1330,3.5,-,-,-,0.72,8,1.34,14,1.86,19,0.52,6,0.83,9,1.24,13,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
MGL-32,83,83,90,6,498,2.8,-,-,-,0.67,2,2.00,4,2.67,5,0.67,2,2.00,4,2.67,5,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
SA1216,78,78,200,16,1248,3,-,-,-,0.30,2,0.90,4,1.20,5,0.30,2,0.90,4,1.20,5,-,-,-,Head damage derived from the sheet's 1x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
ShAK-50,30,45,420,20,600,3.2,-,-,-,0.57,5,1.14,9,1.57,12,0.43,4,0.71,6,1.00,8,-,-,-,Head damage derived from the sheet's 1.5x multiplier.  Source has a single unlabelled reload column; kind (tactical vs empty) unknown.
Sledgehammer,115,-,-,1,115,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,"Source column 4 holds 1.73913043 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 50 for this melee weapon — swing rate, not RPM. Dropped.  Source reload column is 0 — treated as missing."
Spear,65,-,-,1,65,-,-,-,-,-,3,-,4,-,6,-,-,-,-,-,-,-,-,-,"Source column 4 holds 1.61538462 for this melee weapon — alt-attack damage, not head damage. Dropped.  Source RPM column holds 150 for this melee weapon — swing rate, not RPM. Dropped.  Source reload column is 0 — treated as missing."
