weapon,field,value,note,kind
Spear (Alt.),,,"Setup Spin Attack such that each spin requires stamina to perform",nerf
Spear (Alt.),,,"Setup Spin Attack such that when a spin hits an opponent, stamina is immediately regenerated. If the player is already holding the Spin Attack button or presses it again, this allows the second or third spin to immediately trigger",buff
Spear (Alt.),,,"Spin Attack will now end after a single spin attack if the player fails to trigger the next attack or has no Stamina with which to trigger it",nerf

Sword,head_dmg,110,"Set damage for precise hits to 110, replacing the old flat damage value of 88",soft
Sword,body_dmg,71,"Set base damage to 71, this damage value is used for 'glancing blows'",
Sword,stamina_regen,2,"Added Stamina regeneration time of 2s",soft
Sword,precision_angle,9,"Set Precision zone angle to 9 degrees",soft
Sword,lunge_distance,4.25,"Increased lunge distances from 3m to 4.25m",buff
Sword,lunge_angle,20,"Decreased lunge target angle from 25 to 20 degrees, meaning players need to be more precise with their aim to get the benefits of the lunge",nerf
Sword,,,"Added Stamina and Precision",soft
Sword,,,"Updated the primary attack sweep to make it more accurately match the animation",soft
Sword (Alt.),lunge_distance,10,"Lunge distance with stamina increased from ~9m to ~10m",buff
Sword (Alt.),,,"Lunge attack now requires Stamina to achieve the maximum range",nerf
Sword (Alt.),,,"Lunge distance without stamina set to ~5m",nerf
Sword (Alt.),,,"Decreased rotation clamping on the lunge attack by increasing the forward clamp angle from 40 to 110 degrees",buff
